class,method,confidence_tier,dll_verified_status,revitlookup_referenced,requires_doc_context,evidence,source_url,arity,is_static,return_type_confirmed,mutates_state,notes
View,GetCategoryOverrides,unverified_reference,signature_verified_declared,True,True,"member name 'GetCategoryOverrides' matches keyword pattern /Category/ implying target 'Category', but the actual return type 'OverrideGraphicSettings' conflicts -- treating the name match as a coincidental collision rather than relationship evidence",https://www.revitapidocs.com/2025/ed267b82-56be-6e3b-0c6d-4de7df1ed312.htm,1-arg -- ElementId categoryId,instance,Matches evidence. Ground-truth return type: OverrideGraphicSettings.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public OverrideGraphicSettings GetCategoryOverrides ( ElementId categoryId )` Documented exceptions: Exception Condition ArgumentNullException A non-optional argument was null InvalidOperationException The view type does not support Visibility/Graphics Overriddes."
View,GetColorFillSchemeId,unverified_reference,signature_verified_declared,True,True,"return type is 'ElementId', an ID wrapper, but member name gives no strong hint of the target type",https://www.revitapidocs.com/2025/c504d70c-ab68-2db1-95be-73e821ee3587.htm,1-arg -- ElementId categoryId,instance,Evidence made no explicit return-type claim (name-pattern match only). Ground-truth return type: ElementId.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ElementId GetColorFillSchemeId ( ElementId categoryId )` Documented exceptions: Exception Condition ArgumentNullException A non-optional argument was null"
View,GetCropRegionShapeManager,unverified_reference,signature_verified_declared,,,return type 'ViewCropRegionShapeManager' directly names a Revit DB object type,https://www.revitapidocs.com/2025/e2f53728-9b72-227a-f585-9dccf6d79d9f.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ViewCropRegionShapeManager.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ViewCropRegionShapeManager GetCropRegionShapeManager ()`"
View,GetCropRegionShapeManagerForReferenceCallout,unverified_reference,signature_verified_declared,,,return type 'ViewCropRegionShapeManager' directly names a Revit DB object type,https://www.revitapidocs.com/2025/248f20e0-9735-5733-2c8a-6b871bb17d3b.htm,2-arg -- Document doc; ElementId callout,STATIC,Matches evidence. Ground-truth return type: ViewCropRegionShapeManager.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public static ViewCropRegionShapeManager GetCropRegionShapeManagerForReferenceCallout ( Document doc , ElementId callout )` Documented exceptions: Exception Condition ArgumentNullException A non-optional argument was null Remarks: Reference callout is a view-specific element referencing another view. It can have its own crop region shape which doesn't affect the referenced view. **CORRECTION from the prior pass.** The prior pass had the two-parameter signature (Document, ElementId) right but marked it 'instance' by association with the sibling GetCropRegionShapeManager(). The actual cached page shows `public static ViewCropRegionShapeManager GetCropRegionShapeManagerForReferenceCallout(Document doc, ElementId callout)` -- static. Still excluded from the clean set (non-zero-arg either way)."
View,GetDepthCueing,unverified_reference,signature_verified_declared,,,return type 'ViewDisplayDepthCueing' directly names a Revit DB object type,https://www.revitapidocs.com/2025/e60cb801-5a19-1fd7-6a44-0751cf87f162.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ViewDisplayDepthCueing.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ViewDisplayDepthCueing GetDepthCueing ()` Documented exceptions: Exception Condition InvalidOperationException This view cannot use Depth Cueing"
View,GetDirectContext3DHandleOverrides,unverified_reference,signature_verified_declared,,,return type 'DirectContext3DHandleOverrides' directly names a Revit DB object type,https://www.revitapidocs.com/2025/c3671906-2049-5bb7-c9b9-b22e1c813509.htm,zero-arg,instance,Matches evidence. Ground-truth return type: DirectContext3DHandleOverrides.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public DirectContext3DHandleOverrides GetDirectContext3DHandleOverrides ()` **CORRECTION from the prior pass.** The prior pass flagged a suspected return-type mismatch (WebSearch surfaced a class named `DirectContext3DHandleSettings` and no exact 'DirectContext3DHandleOverrides' hit, so the CSV evidence's stated return type looked wrong). The actual cached page confirms `public DirectContext3DHandleOverrides GetDirectContext3DHandleOverrides ()` -- the class name in the CSV's evidence field was correct all along; zero-arg, instance. Moves into the clean/invocable set."
View,GetElementOverrides,unverified_reference,signature_verified_declared,,,return type 'OverrideGraphicSettings' directly names a Revit DB object type,https://www.revitapidocs.com/2025/af0a58fc-7bdf-02fb-4a20-944ffbe9057b.htm,1-arg -- ElementId elementId,instance,Matches evidence. Ground-truth return type: OverrideGraphicSettings.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public OverrideGraphicSettings GetElementOverrides ( ElementId elementId )` Documented exceptions: Exception Condition ArgumentException elementId is not a valid Element identifier. ArgumentNullException A non-optional argument was null InvalidOperationException The element ""this View"" does not belong to a project document. -or- The view type does not support Visibility/Graphics Overriddes."
View,GetFilterOverrides,unverified_reference,signature_verified_declared,True,False,return type 'OverrideGraphicSettings' directly names a Revit DB object type,https://www.revitapidocs.com/2025/764e7bf7-a852-95a3-4183-dc52a1caccaf.htm,1-arg -- ElementId filterElementId,instance,Matches evidence. Ground-truth return type: OverrideGraphicSettings.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public OverrideGraphicSettings GetFilterOverrides ( ElementId filterElementId )` Documented exceptions: Exception Condition ArgumentException ElementId is not associated with a FilterElement. -or- Filter is not applied to the view. ArgumentNullException A non-optional argument was null InvalidOperationException The element ""this View"" does not belong to a project document. -or- The view type does not support Visibility/Graphics Overriddes."
View,GetFilters,unverified_reference,signature_verified_declared,,,return type 'ICollection < ElementId >' is a collection of ID wrappers with no strong name hint,https://www.revitapidocs.com/2025/a5b3aee3-222c-7e8d-fb63-2034ed8871a0.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ICollection < ElementId >.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ICollection < ElementId > GetFilters ()` Documented exceptions: Exception Condition InvalidOperationException The element ""this View"" does not belong to a project document. -or- The view type does not support Visibility/Graphics Overriddes. Remarks: Note that this method returns filters in a set sorted according to their ids. To get filters in the order they are applied to the view use GetOrderedFilters ."
View,GetLinkOverrides,unverified_reference,signature_verified_declared,,,return type 'RevitLinkGraphicsSettings' directly names a Revit DB object type,https://www.revitapidocs.com/2025/f31cba64-9778-a432-4856-fe597f3daf84.htm,1-arg -- ElementId linkId,instance,Matches evidence. Ground-truth return type: RevitLinkGraphicsSettings.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public RevitLinkGraphicsSettings GetLinkOverrides ( ElementId linkId )` Documented exceptions: Exception Condition ArgumentException The input id is not a valid RevitLinkInstance or RevitLinkType id. ArgumentNullException A non-optional argument was null"
View,GetOrderedFilters,unverified_reference,signature_verified_declared,,,return type 'IList < ElementId >' is a collection of ID wrappers with no strong name hint,https://www.revitapidocs.com/2025/0de769ec-9c15-435e-95dc-6dcf439bbf15.htm,zero-arg,instance,Matches evidence. Ground-truth return type: IList < ElementId >.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public IList < ElementId > GetOrderedFilters ()` Documented exceptions: Exception Condition InvalidOperationException The element ""this View"" does not belong to a project document. -or- The view type does not support Visibility/Graphics Overriddes."
View,GetPointCloudOverrides,unverified_reference,signature_verified_declared,,,return type 'PointCloudOverrides' directly names a Revit DB object type,https://www.revitapidocs.com/2025/08c94e04-8c83-4d28-dccb-ddccec1487d9.htm,zero-arg,instance,Matches evidence. Ground-truth return type: PointCloudOverrides.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public PointCloudOverrides GetPointCloudOverrides ()` Prior pass flagged moderate confidence (WebSearch description matched but wasn't independently quoted). Ground truth confirms `public PointCloudOverrides GetPointCloudOverrides ()` -- zero-arg instance, exactly as inferred. Confidence upgraded to confirmed."
View,GetPrimaryViewId,unverified_reference,signature_verified_declared,,,"return type is 'ElementId', an ID wrapper, but member name gives no strong hint of the target type",https://www.revitapidocs.com/2025/3ef30e6a-73e8-2d80-7f76-00fe1f42fed7.htm,zero-arg,instance,Evidence made no explicit return-type claim (name-pattern match only). Ground-truth return type: ElementId.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ElementId GetPrimaryViewId ()` Remarks: The primary view is the view from which a dependent view is created."
View,GetReferenceCallouts,unverified_reference,signature_verified_declared,,,return type 'ICollection < ElementId >' is a collection of ID wrappers with no strong name hint,https://www.revitapidocs.com/2025/00cf51d8-dfcd-3bb3-91e8-91b49d0c4f0d.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ICollection < ElementId >.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ICollection < ElementId > GetReferenceCallouts ()`"
View,GetReferenceElevations,unverified_reference,signature_verified_declared,,,return type 'ICollection < ElementId >' is a collection of ID wrappers with no strong name hint,https://www.revitapidocs.com/2025/a029f626-b771-176c-09e6-8a58437c6efe.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ICollection < ElementId >.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ICollection < ElementId > GetReferenceElevations ()` Prior pass flagged moderate confidence (inferred by analogy to the confirmed sibling GetReferenceCallouts, not independently searched). Ground truth confirms `public ICollection<ElementId> GetReferenceElevations ()` -- zero-arg instance, exactly as inferred. Confidence upgraded to confirmed."
View,GetReferenceSections,unverified_reference,signature_verified_declared,,,return type 'ICollection < ElementId >' is a collection of ID wrappers with no strong name hint,https://www.revitapidocs.com/2025/8ea511ab-7bca-bb8b-4eb0-1c1bacfc03f7.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ICollection < ElementId >.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ICollection < ElementId > GetReferenceSections ()` Prior pass flagged moderate confidence (same analogy-based inference as GetReferenceElevations). Ground truth confirms `public ICollection<ElementId> GetReferenceSections ()` -- zero-arg instance, exactly as inferred. Confidence upgraded to confirmed."
View,GetSketchyLines,unverified_reference,signature_verified_declared,,,return type 'ViewDisplaySketchyLines' directly names a Revit DB object type,https://www.revitapidocs.com/2025/62ec5bed-dfb7-0782-924b-71e12a82756d.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ViewDisplaySketchyLines.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ViewDisplaySketchyLines GetSketchyLines ()`"
View,GetTemporaryViewPropertiesId,unverified_reference,signature_verified_declared,,,"return type is 'ElementId', an ID wrapper, but member name gives no strong hint of the target type",https://www.revitapidocs.com/2025/1fa3e6e9-9a09-2ffa-25e1-302ada24bb12.htm,zero-arg,instance,Evidence made no explicit return-type claim (name-pattern match only). Ground-truth return type: ElementId.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ElementId GetTemporaryViewPropertiesId ()` Remarks: Returned ElementId might refer to element that was deleted. It will happen when Temporary View Properties mode was applied basing on template that next was deleted. Prior pass flagged moderate confidence (inferred from sibling Enable/Disable/IsEnabled state-control methods, not independently searched). Ground truth confirms `public ElementId GetTemporaryViewPropertiesId ()` -- zero-arg instance, exactly as inferred. Confidence upgraded to confirmed. Bonus detail from the Remarks: the returned ElementId can reference a since-deleted element if the template driving Temporary View Properties mode was itself deleted while the mode was active."
View,GetViewDisplayModel,unverified_reference,signature_verified_declared,,,return type 'ViewDisplayModel' directly names a Revit DB object type,https://www.revitapidocs.com/2025/df7cfd06-5282-912b-25f0-e47128a2c62a.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ViewDisplayModel.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ViewDisplayModel GetViewDisplayModel ()`"
